NAME                                VERSION                                    TYPE
grep                                3.11-4                                     deb
grpcio                              1.81.1                                     python
gson                                2.9.1                                      java-archive
guava                               32.0.1-jre                                 java-archive
gui                                 UNKNOWN                                    binary
gui-32                              UNKNOWN                                    binary
gui-64                              UNKNOWN                                    binary
gui-arm64                           UNKNOWN                                    binary
gzip                                1.13-1                                     deb
h11                                 0.16.0                                     python
hf-xet                              1.5.1                                      python
hostname                            3.25                                       deb
httpcore                            1.0.9                                      python
httpcore5                           5.0.2                                      java-archive
httptools                           0.8.0                                      python
httpx                               0.28.1                                     python
huggingface-hub                     1.20.1                                     python
hydra-core                          1.3.2                                      python
idna                                3.11                                       python
idna                                3.18                                       python
importlib-metadata                  8.7.1                                      python
iniconfig                           2.3.0                                      python
init-system-helpers                 1.69~deb13u1                               deb
istack-commons-runtime              3.0.5                                      java-archive
iterative-telemetry                 0.0.10                                     python
j2objc-annotations                  2.8                                        java-archive
jackson-annotations                 2.18.6                                     java-archive
jackson-core                        2.18.6                                     java-archive
jackson-databind                    2.18.6                                     java-archive
jaraco-context                      6.1.0                                      python
jaraco-functools                    4.4.0                                      python
jaraco-text                         4.0.0                                      python
javassist                           3.21.0-GA                                  java-archive
jaxb-api                            2.3.0                                      java-archive
jaxb-core                           2.3.0                                      java-archive  (+1 duplicate)
jaxb-impl                           2.3.0                                      java-archive
jaxb-runtime                        2.3.0                                      java-archive
jinja2                              3.1.6                                      python
joblib                              1.5.3                                      python
joda-time                           2.10.5                                     java-archive
jopt-simple                         5.0.4                                      java-archive
jquery                              3.5.1                                      java-archive
jsonschema                          4.26.0                                     python
jsonschema-specifications           2025.9.1                                   python
jsr305                              3.0.2                                      java-archive
jupyterlab-plotly                   5.24.1                                     npm           (+1 duplicate)
libacl1                             2.3.2-2+b1                                 deb
libapt-pkg7.0                       3.0.3                                      deb
libattr1                            1:2.5.2-3                                  deb
libaudit-common                     1:4.0.2-2                                  deb
libaudit1                           1:4.0.2-2+b2                               deb
libblkid1                           2.41-5                                     deb
libbrotli1                          1.1.0-2+b7                                 deb
libbsd0                             0.12.2-2                                   deb
libbz2-1.0                          1.0.8-6                                    deb
libc-bin                            2.41-12+deb13u3                            deb
libc6                               2.41-12+deb13u3                            deb
libcap-ng0                          0.8.5-4+b1                                 deb
libcap2                             1:2.75-10+deb13u1+b1                       deb
libcom-err2                         1.47.2-3+b11                               deb
libcrypt1                           1:4.4.38-1                                 deb
libcst                              1.8.6                                      python
libcurl3t64-gnutls                  8.14.1-2+deb13u3                           deb
libdb5.3t64                         5.3.28+dfsg2-9                             deb
libdebconfclient0                   0.280                                      deb
liberror-perl                       0.17030-1                                  deb
libexpat1                           2.7.1-2                                    deb
libffi8                             3.4.8-2                                    deb
libgcc-s1                           14.2.0-19                                  deb
libgdbm-compat4t64                  1.24-2                                     deb
libgdbm6t64                         1.24-2                                     deb
libgmp10                            2:6.3.0+dfsg-3                             deb
libgnutls30t64                      3.8.9-3+deb13u4                            deb
libgssapi-krb5-2                    1.21.3-5+deb13u1                           deb
libhogweed6t64                      3.10.1-1                                   deb
libidn2-0                           2.3.8-2                                    deb
libk5crypto3                        1.21.3-5+deb13u1                           deb
libkeyutils1                        1.6.3-6                                    deb
libkrb5-3                           1.21.3-5+deb13u1                           deb
libkrb5support0                     1.21.3-5+deb13u1                           deb
liblastlog2-2                       2.41-5                                     deb
libldap2                            2.6.10+dfsg-1                              deb
liblz4-1                            1.10.0-4                                   deb
liblzma5                            5.8.1-1                                    deb
libmd0                              1.1.0-2+b1                                 deb
libmount1                           2.41-5                                     deb
libncursesw6                        6.5+20250216-2                             deb
libnettle8t64                       3.10.1-1                                   deb
libnghttp2-14                       1.64.0-1.1+deb13u1                         deb
libnghttp3-9                        1.8.0-1                                    deb
libngtcp2-16                        1.11.0-1+deb13u1                           deb
libngtcp2-crypto-gnutls8            1.11.0-1+deb13u1                           deb
libp11-kit0                         0.25.5-3                                   deb
libpam-modules                      1.7.0-5                                    deb
libpam-modules-bin                  1.7.0-5                                    deb
libpam-runtime                      1.7.0-5                                    deb
libpam0g                            1.7.0-5                                    deb
libpcre2-8-0                        10.46-1~deb13u1                            deb
libperl5.40                         5.40.1-6                                   deb
libphonenumber                      8.11.1                                     java-archive
libpsl5t64                          0.21.2-1.1+b1                              deb
libreadline8t64                     8.2-6                                      deb
librtmp1                            2.4+20151223.gitfa8646d.1-2+b5             deb
libsasl2-2                          2.1.28+dfsg1-9                             deb
libsasl2-modules-db                 2.1.28+dfsg1-9                             deb
libseccomp2                         2.6.0-2                                    deb
libselinux1                         3.8.1-1                                    deb
libsemanage-common                  3.8.1-1                                    deb
libsemanage2                        3.8.1-1                                    deb
libsepol2                           3.8.1-1                                    deb
libsmartcols1                       2.41-5                                     deb
libsqlite3-0                        3.46.1-7+deb13u1                           deb
libssh2-1t64                        1.11.1-1                                   deb
libssl3t64                          3.5.6-1~deb13u1                            deb
libstdc++6                          14.2.0-19                                  deb
libsystemd0                         257.13-1~deb13u1                           deb
libtasn1-6                          4.20.0-2                                   deb
libtinfo6                           6.5+20250216-2                             deb
libudev1                            257.13-1~deb13u1                           deb
libunistring5                       1.3-2                                      deb
libuuid1                            2.41-5                                     deb
libxxhash0                          0.8.3-2                                    deb
libzstd1                            1.5.7+dfsg-1                               deb
limits                              5.8.0                                      python
listenablefuture                    9999.0-empty-to-avoid-conflict-with-guava  java-archive
litestar                            2.24.0                                     python
litestar-htmx                       0.5.0                                      python
log4j-api                           2.25.3                                     java-archive
log4j-core                          2.25.3                                     java-archive
log4j-slf4j-impl                    2.25.3                                     java-archive
login                               1:4.16.0-2+really2.41-5                    deb
login.defs                          1:4.17.4-2                                 deb
mailapi                             1.6.2                                      java-archive
mando                               0.7.1                                      python
markdown-it-py                      4.2.0                                      python
markupsafe                          3.0.3                                      python
marshmallow                         4.3.0                                      python
mawk                                1.3.4.20250131-1                           deb
mdurl                               0.1.2                                      python
more-itertools                      10.8.0                                     python
mount                               2.41-5                                     deb
mpmath                              1.3.0                                      python
msgpack                             1.2.1                                      python
msgspec                             0.21.1                                     python
multidict                           6.7.1                                      python        (+1 duplicate)
multipart                           1.3.1                                      python
multiprocess                        0.70.19                                    python
my-test-package                     1.0                                        python
mypy-extensions                     1.1.0                                      python
narwhals                            2.22.1                                     python
ncurses-base                        6.5+20250216-2                             deb
ncurses-bin                         6.5+20250216-2                             deb
netbase                             6.5                                        deb
networkx                            3.6.1                                      python
nltk                                3.9.4                                      python
numpy                               2.4.6                                      python
nvidia-cublas                       13.1.1.3                                   python
nvidia-cuda-cupti                   13.0.85                                    python
nvidia-cuda-nvrtc                   13.0.88                                    python
nvidia-cuda-runtime                 13.0.96                                    python
nvidia-cudnn-cu13                   9.20.0.48                                  python
nvidia-cufft                        12.0.0.61                                  python
nvidia-cufile                       1.15.1.6                                   python
nvidia-curand                       10.4.0.35                                  python
nvidia-cusolver                     12.0.4.66                                  python
nvidia-cusparse                     12.6.3.3                                   python
nvidia-cusparselt-cu13              0.8.1                                      python
nvidia-nccl-cu13                    2.29.7                                     python
nvidia-nvjitlink                    13.0.88                                    python
nvidia-nvshmem-cu13                 3.4.5                                      python
nvidia-nvtx                         13.0.85                                    python
omegaconf                           2.3.1                                      python
opencensus                          0.11.4                                     python
opencensus-context                  0.1.3                                      python
openssl                             3.5.6-1~deb13u1                            deb
openssl-provider-legacy             3.5.6-1~deb13u1                            deb
opentelemetry-api                   1.42.1                                     python
opentelemetry-exporter-prometheus   0.63b1                                     python
opentelemetry-proto                 1.42.1                                     python
opentelemetry-sdk                   1.42.1                                     python
opentelemetry-semantic-conventions  0.63b1                                     python
packaging                           26.0                                       python
packaging                           26.2                                       python
pandas                              3.0.3                                      python
parso                               0.8.7                                      python
passwd                              1:4.17.4-2                                 deb
patsy                               1.0.2                                      python
peft                                0.19.1                                     python
perl                                5.40.1-6                                   deb
perl-base                           5.40.1-6                                   deb
perl-modules-5.40                   5.40.1-6                                   deb
pip                                 24.0                                       python
pip                                 26.1.2                                     python
platformdirs                        4.10.0                                     python
platformdirs                        4.4.0                                      python
plotly                              5.24.1                                     python
pluggy                              1.6.0                                      python
polyfactory                         3.3.0                                      python
prometheus-client                   0.25.0                                     python
propcache                           0.4.1                                      python
propcache                           0.5.2                                      python
proto-plus                          1.28.0                                     python
protobuf                            6.33.6                                     python
psutil                              7.2.2                                      python        (+1 duplicate)
py-spy                              0.4.2                                      python
pyarrow                             24.0.0                                     python
pyasn1                              0.6.3                                      python
pyasn1-modules                      0.4.2                                      python
pycparser                           3.0                                        python
pydantic                            2.13.4                                     python
pydantic-core                       2.46.4                                     python
pydantic-settings                   2.14.2                                     python
pygments                            2.20.0                                     python
pytest                              9.1.1                                      python
python                              3.14.5                                     binary
python-dateutil                     2.9.0.post0                                python
python-discovery                    1.4.2                                      python
python-dotenv                       1.2.2                                      python
pyyaml                              6.0.3                                      python
radon                               6.0.1                                      python
ray                                 2.55.1                                     python
ray_dist                            UNKNOWN                                    java-archive
readline-common                     8.2-6                                      deb
referencing                         0.37.0                                     python
regex                               2026.5.9                                   python
requests                            2.34.2                                     python
rich                                15.0.0                                     python
rich-click                          1.9.8                                      python
rpds-py                             2026.5.1                                   python
safetensors                         0.8.0                                      python
scikit-learn                        1.9.0                                      python
scipy                               1.18.0                                     python
sed                                 4.9-2+deb13u1                              deb
sentencepiece                       0.2.1                                      python
setuptools                          81.0.0                                     python
shellingham                         1.5.4                                      python
six                                 1.17.0                                     python
slf4j-api                           1.7.36                                     java-archive
slowapi                             0.1.10                                     python
smart-open                          7.6.1                                      python
sniffio                             1.3.1                                      python
spark-template                      0.0.0                                      npm
sqv                                 1.3.0-3+b2                                 deb
starlette                           1.3.1                                      python
statsmodels                         0.14.6                                     python
sympy                               1.14.0                                     python
sysvinit-utils                      3.14-4                                     deb
tar                                 1.35+dfsg-3.1                              deb
tenacity                            9.1.4                                      python
threadpoolctl                       3.6.0                                      python
tokenizers                          0.22.2                                     python
tomli                               2.4.0                                      python
torch                               2.12.1                                     python
tqdm                                4.68.3                                     python
transformers                        5.12.1                                     python
triton                              3.7.1                                      python
txw2                                2.3.0                                      java-archive
typer                               0.25.1                                     python
typing-extensions                   4.15.0                                     python
typing-inspect                      0.9.0                                      python
typing-inspection                   0.4.2                                      python
tzdata                              2026b-0+deb13u1                            deb
ujson                               5.13.0                                     python
urllib3                             2.7.0                                      python
util-linux                          2.41-5                                     deb
uuid6                               2025.0.1                                   python
uvicorn                             0.49.0                                     python
uvloop                              0.22.1                                     python
virtualenv                          21.5.1                                     python
watchdog                            6.0.0                                      python
watchfiles                          1.2.0                                      python
websockets                          16.0                                       python
wheel                               0.46.3                                     python
wrapt                               2.2.1                                      python
xxhash                              3.7.0                                      python
yarl                                1.23.0                                     python
yarl                                1.24.2                                     python
zipp                                3.23.0                                     python
zlib1g                              1:1.3.dfsg+really1.3.1-1+b1                deb
